a,b,c,d
0.336272336,0.325011069,0.001019641,0.401401897
0.980264968,0.831835355,0.772288368,0.076485377
0.480387243,0.686839373,0.000574653,0.746758477
0.502106097,0.305141589,0.768608467,0.6546852
0.856602037,0.171448429,0.157971292,0.321231483
0.705973481,0.632688875,0.504016501,0.313622138
0.166724416,0.269733755,0.608569362,0.874427131
0.054040593,0.966439693,0.065595704,0.109448142
0.757839093,0.523885291,0.527210279,0.226936479
0.425383322,0.213701256,0.049020157,0.287597941
0.17683681,0.166533566,0.779373555,0.936486188
0.221545855,0.660821375,0.81178159,0.392565013
0.00135037,0.450185893,0.076469464,0.753367941
0.537323146,0.623778899,0.071851357,0.751200051
0.032284004,0.050181912,0.897562487,0.614129279
0.488804233,0.091374386,0.203803065,0.17970795
0.821115592,0.191406705,0.756962367,0.592383277
0.202698689,0.103978145,0.342236431,0.787626231
0.185217521,0.751554428,0.612737214,0.08842911
0.842810326,0.842356883,0.206588564,0.389939626
0.844033123,0.449981387,0.132197584,0.103938293
0.163877991,0.112353928,0.219087345,0.059326948
0.331902192,0.80802681,0.510172381,0.387539318
0.501642003,0.941300425,0.323752941,0.69091067
0.371519552,0.876330975,0.144357519,0.594585432
0.99432898,0.414771833,0.440279825,0.547651126
0.006799713,0.460372395,0.091869467,0.55172569
0.203857447,0.308069228,0.240755973,0.980956634
0.605779065,0.380763713,0.792922783,0.891649353
0.477304446,0.183489212,0.866534788,0.201153553
0.556262386,0.127412511,0.56689729,0.375828314
0.609455169,0.423830385,0.063128884,0.929641162
0.283014438,0.349947251,0.78665345,0.568573839
0.608309607,0.854790803,0.139445301,0.487584656
0.795001943,0.921310174,0.713141042,0.685499747
0.702916724,0.99422089,0.157829325,0.752602706
0.009322286,0.852385106,0.986982348,0.34136544
0.128520804,0.59624124,0.39684131,0.784855286
0.002236449,0.563735647,0.888664573,0.373864852
0.784282742,0.499219267,0.451702327,0.377078755
0.915890784,0.640995756,0.495687739,0.201717094
0.194972188,0.077999773,0.451646265,0.415696431
0.181324006,0.566170718,0.605631981,0.416567577
0.384887731,0.982113712,0.502717176,0.813578154
0.293214681,0.131784257,0.653358739,0.916341903
0.240499644,0.25836815,0.857672135,0.635348907
0.784507221,0.554938392,0.943035988,0.02091718
0.489080801,0.643766655,0.046644505,0.957888539
0.422845763,0.868912062,0.797250797,0.019856966
0.924186749,0.418500806,0.439438576,0.802400807
0.830562592,0.310897827,0.61293567,0.871664641
0.095943369,0.019040153,0.897991288,0.843088721
0.009327987,0.886621773,0.49702627,0.558591793
0.765945228,0.021081125,0.053794512,0.131820884
0.513732426,0.035074298,0.61888355,0.474121123
0.113584866,0.540640394,0.072944925,0.552755283
0.089567489,0.116549225,0.462666521,0.326426029
0.421117159,0.663216545,0.630966291,0.828644644
0.563735534,0.962920594,0.488361021,0.179301853
0.566514575,0.474658923,0.706939919,0.68432311
0.791966984,0.412867173,0.219907567,0.719051587
0.454025398,0.859109804,0.056415934,0.052499941
0.867645405,0.806030997,0.797655481,0.309531952
0.403430564,0.036134185,0.332576311,0.951279492
0.206532418,0.681194226,0.138806848,0.907449529
0.909912174,0.674934793,0.719364355,0.5879655
0.952139723,0.340240405,0.732466646,0.838763221
0.842135152,0.961220139,0.477847118,0.530604073
0.725832748,0.127405908,0.522711597,0.916513705
0.397262309,0.920527092,0.378903151,0.829321293
0.509684299,0.344921568,0.219723924,0.323920653
0.419236107,0.20316889,0.672382138,0.813833699
0.540102204,0.992191247,0.071552648,0.222352057
0.632623197,0.671139574,0.536209836,0.126911283
0.07678674,0.356501686,0.253884418,0.424295003
0.487410574,0.252713936,0.712080395,0.698963641
0.865351124,0.472766833,0.34936561,0.970488584
0.17522332,0.858030698,0.014161641,0.95901579
0.521995045,0.564292483,0.991807593,0.879398767
0.854185169,0.431280446,0.90574479,0.840030814
0.249621522,0.299760934,0.016659802,0.611398183
0.525624625,0.702579702,0.453701473,0.218470181
0.777316886,0.580769015,0.059176816,0.122071492
0.296939869,0.710183701,0.102645662,0.038026637
0.131747266,0.404964042,0.102656395,0.631335686
0.577453761,0.795009134,0.625407205,0.782880581
0.456908883,0.336805741,0.764452682,0.716954558
0.044052093,0.264393602,0.912533346,0.14914104
0.950744377,0.02760061,0.876419805,0.879444005
0.584208331,0.627465995,0.536745168,0.392889216
0.89551221,0.753778211,0.160491171,0.585982984
0.595296182,0.746873988,0.242756812,0.52906705
0.831253524,0.191721152,0.922074785,0.197040168
0.461476357,0.203669444,0.973252084,0.092244538
0.091648966,0.562343192,0.032264227,0.091507613
0.00277399,0.486119712,0.296923288,0.143494325
0.565447608,0.02937986,0.976375595,0.886771919
0.297065704,0.65177477,0.844159298,0.918900706
0.187590923,0.561254149,0.244321837,0.882215806
0.4860571,0.261192526,0.617592658,0.809193305
0.060344374,0.501371174,0.899171149,0.220186298
0.255355901,0.351667924,0.536489348,0.037011028
0.313286884,0.476386283,0.920286466,0.763184038
0.104318533,0.285135334,0.417754373,0.516107006
0.429209539,0.646271068,0.533256709,0.283233212
0.612547239,0.933303576,0.315230371,0.507742264
0.462646745,0.705720772,0.947799261,0.411819351
0.706932645,0.608360427,0.641196309,0.891057072
0.357387195,0.174963843,0.712611374,0.341856962
0.899632804,0.072155538,0.950727768,0.014300048
0.047241414,0.244668538,0.077620666,0.785337504
0.160858804,0.514384689,0.122974883,0.881984836
0.421425921,0.122873176,0.301141784,0.793979724
0.881528874,0.391515598,0.695839471,0.781401001
0.443943329,0.075530687,0.372755288,0.761575877
0.374409464,0.581878697,0.083772479,0.368344866
0.989929493,0.118767147,0.401477819,0.568509649
0.069157707,0.609011431,0.622027146,0.559585715
0.159554055,0.735910992,0.508438607,0.704589069
0.232967875,0.032592702,0.339958694,0.056452242
0.988643107,0.74276607,0.031265351,0.729281374
0.257611402,0.969028152,0.220503058,0.134089343
0.487128775,0.406557773,0.543998536,0.617978166
0.024531089,0.744900685,0.016648998,0.763265621
0.032498029,0.029654017,0.145984352,0.640801932
0.353283587,0.49394286,0.347358171,0.961593187
0.291818403,0.853739812,0.615547364,0.355224736
0.127037927,0.125991782,0.433625265,0.365441005
0.681064344,0.314812115,0.399335465,0.030530635
0.952879788,0.129080335,0.809865141,0.701325914
0.235367094,0.374787639,0.198427756,0.756245601
0.431845738,0.996740019,0.662689297,0.511186951
0.634722769,0.336418127,0.200325217,0.541388678
0.301056625,0.823946326,0.763778685,0.655293526
0.44416038,0.33772631,0.815504399,0.068482192
0.045481487,0.270972624,0.124658584,0.659161512
0.03471337,0.712290158,0.970166106,0.664397061
0.952065138,0.37567202,0.349656209,0.326323211
0.844222,0.510789946,0.902689008,0.542632418
0.346976085,0.291368387,0.40820871,0.512158776
0.288220697,0.214049387,0.810191732,0.500546942
0.809813153,0.609645873,0.2106553,0.872608309
0.213370668,0.941540481,0.870268217,0.611964601
0.166782724,0.563635981,0.68386345,0.178551395
