,semana,agencia_id,canal_id,ruta_sak,cliente_id,producto_id,venta_uni_hoy,venta_hoy,dev_uni_proxima,dev_proxima,demanda_uni_equil,NombreCliente,Town,NombreProducto
0,4,1379,2,7017,26988,30236,24,748.8,,0.0,24,MEGA COMERCIAL MEXICANA MAZATLAN,2330 TLAQUEPARQUE,Barritas Fresa KC 8p 600g CU MLA 30236
1,5,1379,2,7017,26988,30236,24,748.8,,0.0,24,MEGA COMERCIAL MEXICANA MAZATLAN,2330 TLAQUEPARQUE,Barritas Fresa KC 8p 600g CU MLA 30236
2,7,1379,2,7017,26988,30236,48,1497.6,,0.0,48,MEGA COMERCIAL MEXICANA MAZATLAN,2330 TLAQUEPARQUE,Barritas Fresa KC 8p 600g CU MLA 30236
3,6,1379,2,7017,26988,30236,24,748.8,,0.0,24,MEGA COMERCIAL MEXICANA MAZATLAN,2330 TLAQUEPARQUE,Barritas Fresa KC 8p 600g CU MLA 30236
4,8,1379,2,7017,26988,30236,24,748.8,,0.0,24,MEGA COMERCIAL MEXICANA MAZATLAN,2330 TLAQUEPARQUE,Barritas Fresa KC 8p 600g CU MLA 30236
5,3,1379,2,7017,26988,30236,24,748.8,,0.0,24,MEGA COMERCIAL MEXICANA MAZATLAN,2330 TLAQUEPARQUE,Barritas Fresa KC 8p 600g CU MLA 30236
6,4,1380,2,1603,9733973,30236,72,1808.64,,0.0,72,WAL MART SUPERCENTER COLON,2330 TLAQUEPARQUE,Barritas Fresa KC 8p 600g CU MLA 30236
7,5,1380,2,1603,9733973,30236,48,1205.76,,0.0,48,WAL MART SUPERCENTER COLON,2330 TLAQUEPARQUE,Barritas Fresa KC 8p 600g CU MLA 30236
8,7,1380,2,1603,9733973,30236,24,602.88,,0.0,24,WAL MART SUPERCENTER COLON,2330 TLAQUEPARQUE,Barritas Fresa KC 8p 600g CU MLA 30236
9,6,1380,2,1603,9733973,30236,48,1205.76,,0.0,48,WAL MART SUPERCENTER COLON,2330 TLAQUEPARQUE,Barritas Fresa KC 8p 600g CU MLA 30236
10,8,1380,2,1603,9733973,30236,48,1205.76,,0.0,48,WAL MART SUPERCENTER COLON,2330 TLAQUEPARQUE,Barritas Fresa KC 8p 600g CU MLA 30236
11,3,1380,2,1603,9733973,30236,144,3617.28,,0.0,144,WAL MART SUPERCENTER COLON,2330 TLAQUEPARQUE,Barritas Fresa KC 8p 600g CU MLA 30236
12,4,1380,2,1610,19635,30236,120,3014.4,,0.0,120,BOD  AURRERA ATEMAJAC,2330 TLAQUEPARQUE,Barritas Fresa KC 8p 600g CU MLA 30236
13,5,1380,2,1610,19635,30236,96,2411.52,,0.0,96,BOD  AURRERA ATEMAJAC,2330 TLAQUEPARQUE,Barritas Fresa KC 8p 600g CU MLA 30236
