Agencia_ID,Town
1110,2008 AG. LAGO FILT
1111,2002 AG. AZCAPOTZALCO
1112,2004 AG. CUAUTITLAN
1113,2008 AG. LAGO FILT
1114,2029 AG.IZTAPALAPA 2
1116,2011 AG. SAN ANTONIO
1117,2001 AG. ATIZAPAN
1118,2007 AG. LA VILLA
1119,2013 AG. MEGA NAUCALPAN
1120,2018 AG. TEPALCATES 2
1121,2016 AG. SAN LORENZO
1122,2019 AG. XALOSTOC
1123,2094 CHALCO_BM
1124,2021 AG. XOCHIMILCO 2
1126,2017 AG. SANTA CLARA
1127,2003 AG. COACALCO
1129,2011 AG. SAN ANTONIO
1130,2010 AG. LOS REYES
1137,2014 AG. NEZA
1138,2015 AG. ROJO GOMEZ
1139,2013 AG. MEGA NAUCALPAN
1140,2078 AG. TEXCOCO
1142,2013 AG. MEGA NAUCALPAN
1143,2088 AG. CEYLAN
1146,2088 AG. CEYLAN
1147,2003 AG. COACALCO
1150,2011 AG. SAN ANTONIO
1152,2008 AG. LAGO FILT
1153,2087 AG. TIZAYUCA
1155,2003 AG. COACALCO
1156,2018 AG. TEPALCATES 2
1159,2011 AG. SAN ANTONIO
1160,2089 AG. AZCAPOTZALCO INSTITUCIONALES
1161,2089 AG. AZCAPOTZALCO INSTITUCIONALES
1164,2048 AG. IXTAPALUCA 1
1165,2010 AG. LOS REYES
1167,2116 Cruce De Anden Región Mexico
1168,2092 AG. SANTA CLARA AUTOSERVICIOS
1170,2001 AG. ATIZAPAN
1171,2001 AG. ATIZAPAN
1172,2004 AG. CUAUTITLAN
1173,2004 AG. CUAUTITLAN
1176,2019 AG. XALOSTOC
1177,2048 AG. IXTAPALUCA 1
1179,2002 AG. AZCAPOTZALCO
1210,2059 Queretaro Balvanera
1211,2027 AG. VALLEJO
1212,2064 AG. TEPALCATES 1
1213,2041 AG. TULTITLAN
1215,2049 AG. IZTAPALAPA 1
1216,2007 AG. LA VILLA
1217,2050 AG. MIXCOAC
1218,2040 AG. CENTRO
1219,2042 AG. TEPOZOTLAN
1220,2048 AG. IXTAPALUCA 1
1221,2013 AG. MEGA NAUCALPAN
1222,2088 AG. CEYLAN
1223,2070 AG. XOCHIMILCO 1
1224,2019 AG. XALOSTOC
1227,2066 TOLUCA PONIENTE
1228,2013 AG. MEGA NAUCALPAN
1229,2056 PUEBLA NORTE MARINELA
1232,2059 Queretaro Balvanera
1235,2057 PUEBLA SUR MARINELA
1236,2056 PUEBLA NORTE MARINELA
1237,2063 TEHUACAN MARINELA
1238,2053 OAXACA MARINELA
1239,2044 CUERNAVACA BUENAVISTA
1242,2034 ACAPULCO COSTERA
1243,2065 TOLUCA CENTRO
1245,2036 APIZACO MARINELA
1250,2029 AG.IZTAPALAPA 2
1252,2064 AG. TEPALCATES 1
1253,2175 TOLUCA AEROPUERTO
1255,2088 AG. CEYLAN
1259,2011 AG. SAN ANTONIO
1261,2031 AG. PANTITLAN
1262,2048 AG. IXTAPALUCA 1
1273,2044 CUERNAVACA BUENAVISTA
1275,2070 AG. XOCHIMILCO 1
1276,2041 AG. TULTITLAN
1277,2089 AG. AZCAPOTZALCO INSTITUCIONALES
1279,2041 AG. TULTITLAN
1281,2070 AG. XOCHIMILCO 1
1310,2260 GONZALEZ GALLO
1311,2273 SAN PEDRO
1312,2278 ZAPOPAN BIMBO
1313,2293 GRANJAS MARINELA
1314,2263 LIBERTAD
1315,2268 PALOMAR
1330,2253 ATOTONILCO
1331,2254 AUTLAN_BM
1332,2255 CD GUZMAN
1333,2258 COLIMA BIMBO
1334,2259 FRESNILLO BIMBO
1335,2264 MANZANILLO BIMBO
1336,2269 PUERTO VALLARTA BIMBO
1337,2277 ZACATECAS BIMBO
1338,2274 TEPATITLAN BIMBO
1339,2267 OCOTLAN BIMBO
1340,2275 TEPIC BIMBO
1341,2262 LA PEÑITA
1342,2265 MATEHUALA BIMBO
1344,2315 SAN LUIS POTOSI MARINELA
1345,2272 SAN LUIS REY
1346,2276 WONDER LA RAZA
1347,2251 AGUASCALIENTES NORTE
1348,2256 CD. MANTE
1349,2257 CD. VALLES
1350,2271 RIO VERDE BIMBO
1351,2252 AGUASCALIENTES SIGLO XXI
1353,2293 GRANJAS MARINELA
1354,2272 SAN LUIS REY
1355,2251 AGUASCALIENTES NORTE
1356,2504 TAMPICO MARINELA
1357,2258 COLIMA BIMBO
1358,2264 MANZANILLO BIMBO
1359,2275 TEPIC BIMBO
1360,2269 PUERTO VALLARTA BIMBO
1361,2304 MARIANO OTERO_MM
1363,2321 ZACATECAS MARINELA
1364,2257 CD. VALLES
1366,2325 TECOMAN
1367,2293 GRANJAS MARINELA
1368,2260 GONZALEZ GALLO
1371,2315 SAN LUIS POTOSI MARINELA
1372,2255 CD GUZMAN
1373,2277 ZACATECAS BIMBO
1374,2251 AGUASCALIENTES NORTE
1375,2329 AG.HUEJUTLA
1376,2267 OCOTLAN BIMBO
1377,2368 TAMPICO BIMBO
1378,2328 SANTIAGO IXCUINTLA
1379,2330 TLAQUEPARQUE
1380,2330 TLAQUEPARQUE
1381,2268 PALOMAR
1382,2278 ZAPOPAN BIMBO
1383,2309 NORTE
1384,2321 ZACATECAS MARINELA
1385,2269 PUERTO VALLARTA BIMBO
1386,2273 SAN PEDRO
1387,2272 SAN LUIS REY
1415,2465 LAREDO
1419,2467 LINCOLN
1420,2478 SAN NICOLAS
1423,2468 MATAMOROS BIMBO
1427,2469 MONCLOVA BIMBO
1430,2451 ACUÑA
1431,2474 PIEDRAS NEGRAS
1434,2480 VICTORIA BIMBO
1435,2477 SALTILLO BIMBO
1436,2465 LAREDO
1437,2476 SABINAS
1438,2468 MATAMOROS BIMBO
1439,2461 HIDALGO BIMBO
1441,2477 SALTILLO BIMBO
1442,2465 LAREDO
1443,2469 MONCLOVA BIMBO
1445,2479 SANTA CATARINA BIMBO
1447,2469 MONCLOVA BIMBO
1448,2505 TORREON
1449,2474 PIEDRAS NEGRAS
1451,2480 VICTORIA BIMBO
1452,2145 Cruce De Anden Norte
1453,2481 WONDER GUERRERO
1454,2455 CHIHUAHUA BIMBO
1455,2472 OJINAGA
1456,2505 TORREON
1459,2473 PARRAL BIMBO
1461,2457 DELICIAS BIMBO
1462,2454 CUAHUTEMOC
1463,2458 GOMEZ PALACIO BIMBO
1464,2505 TORREON
1465,2475 REYNOSA BIMBO
1469,2488 JUAREZ
1470,2515 CAVAZOS
1471,2516 ESCOBEDO
1472,2499 REYNOSA MARINELA
1473,2467 LINCOLN
1474,2477 SALTILLO BIMBO
1475,2458 GOMEZ PALACIO BIMBO
1476,2516 ESCOBEDO
1477,2487 AEROPUERTO
1478,2515 CAVAZOS
1479,2485 CHIHUAHUA MARINELA
1480,2475 REYNOSA BIMBO
1481,2468 MATAMOROS BIMBO
1482,2480 VICTORIA BIMBO
