semana,agencia_id,canal_id,ruta_sak,cliente_id,producto_id,venta_uni_hoy,venta_hoy,dev_uni_proxima,dev_proxima,demanda_uni_equil
4,1379,2,7017,26988,30236,24,748.8,,0,24
5,1379,2,7017,26988,30236,24,748.8,,0,24
7,1379,2,7017,26988,30236,48,1497.6,,0,48
6,1379,2,7017,26988,30236,24,748.8,,0,24
8,1379,2,7017,26988,30236,24,748.8,,0,24
3,1379,2,7017,26988,30236,24,748.8,,0,24
4,1379,2,7019,1871244,30235,24,748.8,,0,24
5,1379,2,7019,1871244,30235,24,748.8,,0,24
7,1379,2,7019,1871244,30235,24,748.8,,0,24
6,1379,2,7019,1871244,30235,48,1497.6,,0,48
8,1379,2,7019,1871244,30235,24,748.8,,0,24
3,1379,2,7019,1871244,30235,48,1497.6,,0,48
4,1379,2,7301,19480,31187,253,4166.91,,0,253
5,1379,2,7301,19480,31187,60,988.2,,0,60
7,1379,2,7301,19480,31187,40,658.8,,0,40
6,1379,2,7301,19480,31187,60,988.2,,0,60
8,1379,2,7301,19480,31187,200,3294,,0,200
3,1379,2,7301,19480,31187,40,658.8,,0,40
4,1379,2,7301,19480,31198,84,1189.44,,0,84
5,1379,2,7301,19480,31198,84,1189.44,,0,84
7,1379,2,7301,19480,31198,56,792.96,,0,56
6,1379,2,7301,19480,31198,84,1189.44,,0,84
8,1379,2,7301,19480,31198,28,396.48,,0,28
3,1379,2,7301,19480,31198,28,396.48,,0,28
4,1379,2,7308,674685,31200,24,771.84,,0,24
5,1379,2,7308,674685,31200,72,2315.52,,0,72
7,1379,2,7308,674685,31200,48,1543.68,,0,48
6,1379,2,7308,674685,31200,24,771.84,,0,24
8,1379,2,7308,674685,31200,72,2315.52,,0,72
3,1379,2,7308,674685,31200,48,1543.68,,0,48
4,1379,2,7311,1120311,31187,20,329.4,,0,20
5,1379,2,7311,1120311,31187,60,988.2,,0,60
7,1379,2,7311,1120311,31187,20,329.4,,0,20
6,1379,2,7311,1120311,31187,20,329.4,,0,20
8,1379,2,7311,1120311,31187,40,658.8,,0,40
3,1379,2,7311,1120311,31187,20,329.4,,0,20
4,1379,2,7342,1118106,31187,40,658.8,,0,40
4,1379,2,9074,1118106,31187,40,658.8,,0,40
5,1379,2,7342,1118106,31187,20,329.4,,0,20
7,1379,2,7342,1118106,31187,20,329.4,,0,20
6,1379,2,7342,1118106,31187,60,988.2,,0,60
8,1379,2,7342,1118106,31187,20,329.4,,0,20
3,1379,2,7342,1118106,31187,20,329.4,,0,20
3,1379,2,9074,1118106,31187,20,329.4,,0,20
4,1379,2,7354,1628846,31187,20,329.4,,0,20
4,1379,2,8644,1628846,31187,40,658.8,,0,40
4,1379,2,9408,1628846,31187,20,329.4,,0,20
5,1379,2,7354,1628846,31187,20,329.4,,0,20
5,1379,2,8644,1628846,31187,100,1647,,0,100
7,1379,2,8644,1628846,31187,80,1317.6,,0,80
6,1379,2,7354,1628846,31187,60,988.2,,0,60
6,1379,2,8644,1628846,31187,80,1317.6,,0,80
8,1379,2,8644,1628846,31187,20,329.4,,0,20
8,1379,2,9408,1628846,31187,20,329.4,,0,20
3,1379,2,7354,1628846,31187,20,329.4,,0,20
3,1379,2,8644,1628846,31187,60,988.2,,0,60
4,1379,2,7355,1948823,31187,20,329.4,,0,20
5,1379,2,7355,1948823,31187,60,988.2,,0,60
7,1379,2,7355,1948823,31187,40,658.8,,0,40
6,1379,2,7355,1948823,31187,60,988.2,,0,60
8,1379,2,7355,1948823,31187,20,329.4,,0,20
3,1379,2,7355,1948823,31187,20,329.4,,0,20
4,1379,2,7357,48342,31200,48,1543.68,,0,48
5,1379,2,7357,48342,31200,24,771.84,,0,24
7,1379,2,7357,48342,31200,24,771.84,,0,24
6,1379,2,7357,48342,31200,48,1543.68,,0,48
8,1379,2,7357,48342,31200,24,771.84,,0,24
3,1379,2,7357,48342,31200,24,771.84,,0,24
4,1379,2,7365,147513,31198,28,396.48,,0,28
5,1379,2,7365,147513,31198,56,792.96,,0,56
7,1379,2,7365,147513,31198,56,792.96,,0,56
6,1379,2,7365,147513,31198,56,792.96,,0,56
8,1379,2,7365,147513,31198,28,396.48,,0,28
3,1379,2,7365,147513,31198,28,396.48,,0,28
4,1379,2,7370,48213,31187,180,2964.6,,0,180
5,1379,2,7370,48213,31187,280,4611.6,,0,280
7,1379,2,7370,48213,31187,60,988.2,,0,60
6,1379,2,7370,48213,31187,220,3623.4,,0,220
8,1379,2,7370,48213,31187,380,6258.6,,0,380
3,1379,2,7370,48213,31187,20,329.4,,0,20
4,1379,2,7370,48213,31198,56,792.96,,0,56
5,1379,2,7370,48213,31198,168,2378.88,,0,168
7,1379,2,7370,48213,31198,56,792.96,,0,56
6,1379,2,7370,48213,31198,84,1189.44,,0,84
8,1379,2,7370,48213,31198,112,1585.92,,0,112
3,1379,2,7370,48213,31198,28,396.48,,0,28
4,1379,2,7370,48213,31200,48,1543.68,,0,48
5,1379,2,7370,48213,31200,72,2315.52,,0,72
7,1379,2,7370,48213,31200,24,771.84,,0,24
6,1379,2,7370,48213,31200,24,771.84,,0,24
8,1379,2,7370,48213,31200,72,2315.52,,0,72
3,1379,2,7370,48213,31200,48,1543.68,,0,48
4,1379,2,7371,50156,31187,60,988.2,,0,60
5,1379,2,7371,50156,31187,100,1647,,0,100
7,1379,2,7371,50156,31187,20,329.4,,0,20
6,1379,2,7371,50156,31187,40,658.8,,0,40
8,1379,2,7371,50156,31187,100,1647,,0,100
8,1379,2,8688,50156,31187,20,329.4,,0,20
3,1379,2,7371,50156,31187,20,329.4,,0,20
4,1379,2,7378,9733933,31198,28,396.48,,0,28
4,1379,2,8671,9733933,31198,56,792.96,,0,56
5,1379,2,7378,9733933,31198,28,396.48,,0,28
5,1379,2,8671,9733933,31198,56,792.96,,0,56
7,1379,2,7378,9733933,31198,28,396.48,,0,28
6,1379,2,7378,9733933,31198,56,792.96,,0,56
8,1379,2,7378,9733933,31198,28,396.48,,0,28
3,1379,2,7378,9733933,31198,28,396.48,,0,28
4,1379,2,7381,8004217,31187,20,329.4,,0,20
5,1379,2,7381,8004217,31187,60,988.2,,0,60
7,1379,2,7381,8004217,31187,20,329.4,,0,20
6,1379,2,7381,8004217,31187,20,329.4,,0,20
8,1379,2,7381,8004217,31187,40,658.8,,0,40
3,1379,2,7381,8004217,31187,20,329.4,,0,20
4,1379,2,7390,77999,31187,100,1647,,0,100
5,1379,2,7390,77999,31187,40,658.8,,0,40
7,1379,2,7390,77999,31187,40,658.8,,0,40
6,1379,2,7390,77999,31187,40,658.8,,0,40
8,1379,2,7390,77999,31187,60,988.2,,0,60
3,1379,2,7390,77999,31187,20,329.4,,0,20
4,1379,2,7419,2128453,31187,40,658.8,,0,40
4,1379,2,8693,2128453,31187,40,658.8,,0,40
5,1379,2,7419,2128453,31187,60,988.2,,0,60
5,1379,2,8693,2128453,31187,100,1647,,0,100
7,1379,2,7419,2128453,31187,20,329.4,,0,20
7,1379,2,8693,2128453,31187,20,329.4,,0,20
6,1379,2,7419,2128453,31187,20,329.4,,0,20
6,1379,2,8693,2128453,31187,40,658.8,,0,40
8,1379,2,7419,2128453,31187,20,329.4,,0,20
8,1379,2,8693,2128453,31187,20,329.4,,0,20
3,1379,2,7419,2128453,31187,80,1317.6,,0,80
4,1379,2,7440,64002,31187,40,658.8,,0,40
5,1379,2,7440,64002,31187,220,3623.4,,0,220
7,1379,2,7440,64002,31187,120,1976.4,,0,120
6,1379,2,7440,64002,31187,120,1976.4,,0,120
8,1379,2,7440,64002,31187,100,1647,,0,100
3,1379,2,7440,64002,31187,160,2635.2,,0,160
4,1379,2,7462,1580267,31198,56,792.96,,0,56
5,1379,2,7462,1580267,31198,84,1189.44,,0,84
7,1379,2,7462,1580267,31198,56,792.96,,0,56
6,1379,2,7462,1580267,31198,112,1585.92,,0,112
8,1379,2,7462,1580267,31198,84,1189.44,,0,84
3,1379,2,7462,1580267,31198,28,396.48,,0,28
4,1379,2,8427,6151193,31200,24,771.84,,0,24
5,1379,2,8427,6151193,31200,24,771.84,,0,24
7,1379,2,8427,6151193,31200,24,771.84,,0,24
6,1379,2,8427,6151193,31200,24,771.84,,0,24
8,1379,2,8427,6151193,31200,24,771.84,,0,24
3,1379,2,8427,6151193,31200,24,771.84,,0,24
4,1379,2,8606,429138,31187,40,658.8,,0,40
5,1379,2,8606,429138,31187,180,2964.6,,0,180
7,1379,2,8606,429138,31187,200,3294,,0,200
6,1379,2,8606,429138,31187,60,988.2,,0,60
8,1379,2,8606,429138,31187,120,1976.4,,0,120
3,1379,2,8606,429138,31187,80,1317.6,,0,80
