tahun,jenis_rute,rute
2017,Rute Reguler,Lap. Banteng - P. Gadung
2017,Rute Reguler,Plumpang – Kemayoran
2017,Rute Reguler,TMII – Gandaria
2017,Rute Reguler,Pondok Kopi - P. Gadung
2017,Rute Reguler,Kampung Melayu – TMII
2017,Rute Reguler,Pasar Minggu - Kebayoran
2017,Rute Reguler,Pasar Minggu - Lenteng Agung
2017,Rute Reguler,Pasar Minggu - Manggarai
2017,Rute Reguler,Cilincing - P. Gadung
2017,Rute Reguler,Kampung Melayu – Salemba – Lapangan Banteng
2017,Rute Reguler,Blok M – Pakubuwono - Ciledug
2017,Rute Reguler,Kalideres – Grogol - Gajahmada
2017,Rute Reguler,Pulogadung – Pondok Bambu - Cawang
2017,Rute Reguler,Pondok Labu – Fatmawati – Blok M
2017,Rute Reguler,Tebet - Pondok Kopi
2017,Rute Reguler,Rusun Muara Baru - Grogol
2017,Rute Reguler,Muara Baru - Muara Angke
2017,Rute Reguler,Tebet -  Mampang Prapatan Raguna
2017,Rute Reguler,Manggarai – Mampang Prapat – Pasar Minggu
2017,Rute Zonasi,Rancho - Condet - Pinang Ranti
2017,Rute Zonasi,Kampung Melayu - Rawa Mangun
2017,Rute Zonasi,Kalideres – Kamal
2017,Rute Zonasi,Kalideres - Semanan - Duri Kosambi
2017,Rute Zonasi,Pulogadung – Paseban
2017,Rute Zonasi,Cawang – Ragunan
2017,Rute Zonasi,Rawamangun – Lapangan Banteng
2017,Rute Zonasi,Lubang Buaya – Hek - Rancho
2017,Rute Zonasi,Marunda  - Rorotan
2017,Rute Zonasi,Marunda - Cilincing
2017,Rute Zonasi,Rusun Kapuk - Cideng
