type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,99,11367
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,80,10494
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,67,8382
ZONASI,ZONA 4,ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,99,1337
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,70,7735
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,63,5028
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,65,694
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,65,5418
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,49,10015
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,49,4934
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,33,3856
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,101,19521
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,84,14125
REGULER,RUTE 3,GANDARIA - H E K - TMII,100,18619
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,51,1104
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,83,17696
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,137,22862
REGULER,RUTE 6,PS.MINGGU - MAMPANG PRAPATAN - KEBAYORAN PTIK,77,13722
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,97,29121
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,63,5748
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,51,7459
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,66,9341
REGULER,RUTE 11,BLOK.M - CILEDUK,79,10874
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,91,23639
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,95,13735
REGULER,RUTE 14,BLOK. M - PONDOK LABU,80,11434
REGULER,RUTE 15,TEBET - PONDOK KOPI,66,10264
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,34,8111
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,51,11468
REGULER,RUTE 18,TEBET - MAMPANG PRAPATAN - RAGUNAN,34,3606
REGULER,RUTE 19,MANGGARAI - MAMPANG PRAPATAN- PS MINGGU,34,3922
