type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang,
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,77,9612,
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,63,7512,
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,50,3737,
ZONASI,ZONA 4,ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,67,6682,
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,50,5078,
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,50,4062,
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,48,4286,
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,52,3281,
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,37,3264,
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,39,3908,
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,24,2154,
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,76,14374,
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,70,964,
REGULER,RUTE 3,GANDARIA - H E K - TMII,76,1054,
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,39,7549,
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,63,12099,
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,99,16766,
REGULER,RUTE 6,PS.MINGGU - MAMPANG PRAPATAN - KEBAYORAN PTIK,59,8291,
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,68,17901,
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,71,9829,
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,24,5019,
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,39,5826,
REGULER,RUTE 11,BLOK.M - CILEDUK,49,7908,
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,58,13215,
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,71,8958,
REGULER,RUTE 14,BLOK. M - PONDOK LABU,52,7447,
REGULER,RUTE 15,TEBET - PONDOK KOPI,53,7778,
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,38,8103,
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,40,105,
,,,,,
