type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,109,20696
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,93,16478
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,74,12427
ZONASI,ZONA 4,ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,113,20987
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,74,12846
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,75,8008
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,76,12341
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,75,8842
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,56,13731
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,57,7632
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,37,5058
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,114,27714
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,95,20892
REGULER,RUTE 3,GANDARIA - H E K - TMII,112,31415
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,75,19976
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,94,2584
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,152,38934
REGULER,RUTE 6,PS.MINGGU - MAMPANG PRAPATAN - KEBAYORAN PTIK,91,1982
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,113,38741
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,83,16238
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,57,10571
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,75,15869
REGULER,RUTE 11,BLOK.M - CILEDUK,94,16363
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,100,35407
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,114,23008
REGULER,RUTE 14,BLOK. M - PONDOK LABU,95,18158
REGULER,RUTE 15,TEBET - PONDOK KOPI,73,15577
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,38,12408
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,57,17022
REGULER,RUTE 18,TEBET - MAMPANG PRAPATAN - RAGUNAN,37,534
REGULER,RUTE 19,MANGGARAI - MAMPANG PRAPATAN- PS MINGGU,36,6297
