type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang,
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,58,11892,
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,50,8654,
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,39,7415,
ZONASI,ZONA 4,ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,58,11593,
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,37,6287,
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,31,3623,
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,40,4695,
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,35,3597,
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,30,7341,
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,30,403,
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,20,1747,
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,54,13532,
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,45,7967,
REGULER,RUTE 3,GANDARIA - H E K - TMII,54,13943,
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,53,10231,
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,24,4531,
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,66,20183,
REGULER,RUTE 6,PS.MINGGU - MAMPANG PRAPATAN - KEBAYORAN PTIK,43,9164,
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,53,13351,
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,50,9573,
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,21,3598,
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,36,7471,
REGULER,RUTE 11,BLOK.M - CILEDUK,40,7159,
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,53,17415,
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,45,8895,
REGULER,RUTE 14,BLOK. M - PONDOK LABU,44,8414,
REGULER,RUTE 15,TEBET - PONDOK KOPI,34,4777,
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,18,4667,
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,26,7633,
REGULER,RUTE 18,TEBET - MAMPANG PRAPATAN - RAGUNAN,15,1205,
REGULER,RUTE 19,MANGGARAI - MAMPANG PRAPATAN- PS MINGGU,2,90,
