type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,51,327
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,45,2368
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,36,1675
ZONASI,ZONA 4,ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,54,227
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,36,2091
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,36,1935
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,36,1771
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,36,1609
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,27,1636
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,27,1606
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,18,816
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,54,6244
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,45,3579
REGULER,RUTE 3,GANDARIA - H E K - TMII,54,4932
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,29,3631
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,39,3831
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,72,5701
REGULER,RUTE 6,PS.MINGGU - MAMPANG PRAPATAN - KEBAYORAN PTIK,37,2867
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,52,8632
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,37,2943
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,28,1734
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,36,2668
REGULER,RUTE 11,BLOK.M - CILEDUK,40,3248
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,47,4843
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,44,3988
REGULER,RUTE 14,BLOK. M - PONDOK LABU,43,3497
REGULER,RUTE 15,TEBET - PONDOK KOPI,37,3233
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,26,3144
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,22,2821
REGULER,RUTE 18,TEBET - MAMPANG PRAPATAN - RAGUNAN,20,1143
REGULER,RUTE 19,MANGGARAI - MAMPANG PRAPATAN- PS MINGGU,18,935
