type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang,
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,127,232,
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,107,16294,
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,86,14484,
ZONASI,ZONA 4,ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,128,23236,
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,87,15159,
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,84,8195,
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,86,13124,
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,83,9237,
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,65,18396,
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,65,8611,
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,42,6328,
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,131,29853,
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,109,22867,
REGULER,RUTE 3,GANDARIA - H E K - TMII,128,31074,
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,88,21822,
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,102,28716,
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,175,42338,
REGULER,RUTE 6,PS.MINGGU - MAMPANG PRAPATAN - KEBAYORAN PTIK,103,23031,
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,131,42092,
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,103,14957,
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,66,1204,
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,87,1645,
REGULER,RUTE 11,BLOK.M - CILEDUK,110,18509,
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,110,35716,
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,128,23798,
REGULER,RUTE 14,BLOK. M - PONDOK LABU,108,1867,
REGULER,RUTE 15,TEBET - PONDOK KOPI,88,1686,
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,39,10669,
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,66,19531,
REGULER,RUTE 18,TEBET - MAMPANG PRAPATAN - RAGUNAN,45,6805,
REGULER,RUTE 19,MANGGARAI - MAMPANG PRAPATAN- PS MINGGU,44,7983,
