type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang,
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,122,12601,
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,89,9496,
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,55,6264,
ZONASI,ZONA 4,ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,87,13627,
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,56,5578,
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,41,4028,
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,47,6762,
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,42,5061,
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,41,6387,
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,36,4196,
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,21,3564,
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,131,23105,
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,128,12061,
REGULER,RUTE 3,GANDARIA - H E K - TMII,112,15525,
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,51,12262,
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,68,14259,
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,108,19063,
REGULER,RUTE 6,PS.MINGGU - MAMPANG PRAPATAN - KEBAYORAN PTIK,60,10226,
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,80,2316,
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,69,10279,
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,50,4525,
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,65,7763,
REGULER,RUTE 11,BLOK.M - CILEDUK,79,896,
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,95,11077,
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,87,8213,
REGULER,RUTE 14,BLOK. M - PONDOK LABU,66,7687,
REGULER,RUTE 15,TEBET - PONDOK KOPI,53,7732,
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,22,7372,
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,35,5261,
REGULER,RUTE 18,TEBET - MAMPANG PRAPATAN - RAGUNAN,21,4655,
REGULER,RUTE 19,MANGGARAI - MAMPANG PRAPATAN- PS MINGGU,28,3155,
