type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang,
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,126,22839,
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,98,16596,
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,88,8227,
ZONASI,ZONA 4,ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,123,14482,
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,82,11056,
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,73,6784,
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,76,10031,
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,83,8153,
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,57,7945,
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,65,7516,
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,42,4851,
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,129,30935,
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,129,22487,
REGULER,RUTE 3,GANDARIA - H E K - TMII,132,27826,
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,67,18493,
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,102,28736,
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,174,382,
REGULER,RUTE 6,PS.MINGGU - MAMPANG PRAPATAN - KEBAYORAN PTIK,102,19511,
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,119,38215,
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,119,2126,
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,44,9661,
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,63,11535,
REGULER,RUTE 11,BLOK.M - CILEDUK,85,16887,
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,117,31976,
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,125,22842,
REGULER,RUTE 14,BLOK. M - PONDOK LABU,86,16095,
REGULER,RUTE 15,TEBET - PONDOK KOPI,86,19345,
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,65,1727,
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,66,1967,
