type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang,
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,105,1767,
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,87,13361,
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,74,6963,
ZONASI,ZONA 4,ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,107,12334,
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,73,9328,
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,62,5858,
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,75,7921,
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,72,6735,
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,56,8136,
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,51,6163,
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,37,4836,
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,111,25947,
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,104,17247,
REGULER,RUTE 3,GANDARIA - H E K - TMII,109,23129,
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,146,33612,
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,,,
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,152,32759,
REGULER,RUTE 6,PS.MINGGU - MAMPANG PRAPATAN - KEBAYORAN PTIK,79,14647,
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,121,34904,
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,92,13998,
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,38,7532,
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,64,12396,
REGULER,RUTE 11,BLOK.M - CILEDUK,86,13369,
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,111,2979,
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,104,15401,
REGULER,RUTE 14,BLOK. M - PONDOK LABU,82,15659,
REGULER,RUTE 15,TEBET - PONDOK KOPI,75,1407,
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,55,12476,
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,53,13221,
REGULER,RUTE 18,TEBET - MAMPANG PRAPATAN - RAGUNAN,10,939,
REGULER,RUTE 19,MANGGARAI - MAMPANG PRAPATAN- PS MINGGU,8,1078,
,,,,,
,,,,,
