jenis_armada,merk,tahun_pengadaan,wilayah_operasi,nomor_plat,kondisi,kapasitas_penumpang,kode_trayek
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1049.PQQ,BAIK,25,Z1
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1050.PQQ,BAIK,25,Z2
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1051.PQQ,BAIK,25,Z3
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1052.PQQ,BAIK,25,Z4
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1053.PQQ,BAIK,25,Z5
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1054.PQQ,BAIK,25,Z6
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1055.PQQ,BAIK,25,Z7
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1056.PQQ,BAIK,25,Z8
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1057.PQQ,BAIK,25,Z9
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1058.PQQ,BAIK,25,Z10
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1059.PQQ,BAIK,25,Z11
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1060.PQQ,BAIK,25,Z12
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1061.PQQ,BAIK,25,Z13
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1062.PQQ,BAIK,25,Z14
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1063.PQQ,BAIK,25,Z15
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1064.PQQ,BAIK,25,Z16
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1065.PQQ,BAIK,25,Z17
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1066.PQQ,BAIK,25,Z18
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1067.PQQ,BAIK,25,Z19
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1068.PQQ,BAIK,25,Z20
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1069.PQQ,BAIK,25,Z21
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1070.PQQ,BAIK,25,Z22
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1071.PQQ,BAIK,25,Z23
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1072.PQQ,BAIK,25,Z24
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1073.PQQ,BAIK,25,Z25
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1074.PQQ,BAIK,25,Z26
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1075.PQQ,BAIK,25,Z27
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1076.PQQ,BAIK,25,Z28
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1174.PQQ,BAIK,25,Z29
BUS KECIL ELF ( R.4 ),ISUZU,2012,Seluruh Provinsi DKI Jakarta,B1175.PQQ,BAIK,25,Z30
BUS KECIL ELF ( R.4 ),HINO,2013,Seluruh Provinsi DKI Jakarta,B7028.TPA,BAIK,25,Z31
BUS KECIL ELF ( R.4 ),HINO,2013,Seluruh Provinsi DKI Jakarta,B7029.TPA,BAIK,25,Z32
