type_operasi,daerah_operasi,area_operasi,januari,februari,maret,april,mei,juni,juli,agustus,september,oktober,november,desember
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,20358,20696,232,11367,12601,327,11892,14823,1767,14626,22839,9612
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,16302,16478,16294,10494,9496,2368,8654,10608,13361,10897,16596,7512
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,11416,12427,14484,8382,6264,1675,7415,592,6963,559,8227,3737
ZONASI,ZONA 4,ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,18655,20987,23236,1337,13627,227,11593,11074,12334,934,14482,6682
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,12332,12846,15159,7735,5578,2091,6287,6919,9328,686,11056,5078
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,6407,8008,8195,5028,4028,1935,3623,4656,5858,4766,6784,4062
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,10153,12341,13124,694,6762,1771,4695,5744,7921,584,10031,4286
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,751,8842,9237,5418,5061,1609,3597,5383,6735,5613,8153,3281
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,11794,13731,18396,10015,6387,1636,7341,7144,8136,5736,7945,3264
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,6803,7632,8611,4934,4196,1606,403,5296,6163,5041,7516,3908
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,4969,5058,6328,3856,3564,816,1747,2371,4836,3508,4851,2154
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,25549,27714,29853,19521,23105,6244,13532,19988,25947,20815,30935,14374
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,18334,20892,22867,14125,12061,3579,7967,12923,17247,13558,22487,964
REGULER,RUTE 3,GANDARIA - H E K - TMII,27055,31415,31074,18619,15525,4932,13943,1554,23129,16664,27826,1054
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,1943,19976,21822,1104,12262,3631,10231,12155,33612,11193,18493,7549
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,2266,2584,28716,17696,14259,3831,4531,1539,12091.9090909091,16754,28736,12099
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,36009,38934,42338,22862,19063,5701,20183,21842,32759,21802,382,16766
REGULER,RUTE 6,PS.MINGGU - MAMPANG PRAPATAN - KEBAYORAN PTIK,18192,1982,23031,13722,10226,2867,9164,12965,14647,11286,19511,8291
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,32202,38741,42092,29121,2316,8632,13351,24274,34904,23346,38215,17901
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,17519,16238,14957,5748,10279,2943,9573,10264,13998,12386,2126,9829
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,8607,10571,1204,7459,4525,1734,3598,5173,7532,5328,9661,5019
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,14152,15869,1645,9341,7763,2668,7471,10147,12396,9338,11535,5826
REGULER,RUTE 11,BLOK.M - CILEDUK,16593,16363,18509,10874,896,3248,7159,1066,13369,10502,16887,7908
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,30234,35407,35716,23639,11077,4843,17415,22663,2979,21511,31976,13215
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,2049,23008,23798,13735,8213,3988,8895,13933,15401,1255,22842,8958
REGULER,RUTE 14,BLOK. M - PONDOK LABU,1646,18158,1867,11434,7687,3497,8414,14579,15659,10989,16095,7447
REGULER,RUTE 15,TEBET - PONDOK KOPI,14341,15577,1686,10264,7732,3233,4777,9706,1407,10535,19345,7778
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,11595,12408,10669,8111,7372,3144,4667,10177,12476,9849,1727,8103
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,16694,17022,19531,11468,5261,2821,7633,8764,13221,968,1967,105
REGULER,RUTE 18,TEBET - MAMPANG PRAPATAN - RAGUNAN,4753,534,6805,3606,4655,1143,1205,3524,939,3018.22222222222,3018.22222222222,3018.22222222222
REGULER,RUTE 19,MANGGARAI - MAMPANG PRAPATAN- PS MINGGU,5344,6297,7983,3922,3155,935,90,3087,1078,3543.44444444444,3543.44444444444,3543.44444444444
