type_operasi,daerah_operasi,area_operasi,januari,februari,maret,april,mei,juni,juli,agustus,september,oktober,november,desember
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,100,109,127,99,122,51,58,94,105,88,126,77
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,84,93,107,80,89,45,50,75,87,73,98,63
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,67,74,86,67,55,36,39,62,74,59,88,50
ZONASI,ZONA 4,ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,102,113,128,99,87,54,58,93,107,83,123,67
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,68,74,87,70,56,36,37,62,73,57,82,50
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,66,75,84,63,41,36,31,63,62,49,73,50
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,68,76,86,65,47,36,40,63,75,54,76,48
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,67,75,83,65,42,36,35,64,72,53,83,52
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,50,56,65,49,41,27,30,47,56,43,57,37
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,51,57,65,49,36,27,30,48,51,44,65,39
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,34,37,42,33,21,18,20,37,37,31,42,24
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,94,114,131,101,131,54,54,95,111,85,129,76
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,80,95,109,84,128,45,45,79,104,89,129,70
REGULER,RUTE 3,GANDARIA - H E K - TMII,95,112,128,100,112,54,54,93,109,85,132,76
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,63,75,88,51,51,29,53,51,146,46,67,39
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,79,94,102,83,68,39,24,77,73,72,102,63
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,128,152,175,137,108,72,66,124,152,113,174,99
REGULER,RUTE 6,PS.MINGGU - MAMPANG PRAPATAN - KEBAYORAN PTIK,80,91,103,77,60,37,43,83,79,66,102,59
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,101,113,131,97,80,52,53,89,121,79,119,68
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,82,83,103,63,69,37,50,74,92,83,119,71
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,49,57,66,51,50,28,21,34,38,30,44,24
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,67,75,87,66,65,36,36,62,64,47,63,39
REGULER,RUTE 11,BLOK.M - CILEDUK,79,94,110,79,79,40,40,65,86,64,85,49
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,101,100,110,91,95,47,53,86,111,83,117,58
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,102,114,128,95,87,44,45,92,104,85,125,71
REGULER,RUTE 14,BLOK. M - PONDOK LABU,85,95,108,80,66,43,44,77,82,60,86,52
REGULER,RUTE 15,TEBET - PONDOK KOPI,67,73,88,66,53,37,34,63,75,57,86,53
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,34,38,39,34,22,26,18,45,55,43,65,38
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,51,57,66,51,35,22,26,47,53,44,66,40
REGULER,RUTE 18,TEBET - MAMPANG PRAPATAN - RAGUNAN,34,37,45,34,21,20,15,32,10,27.5555555555556,27.5555555555556,27.5555555555556
REGULER,RUTE 19,MANGGARAI - MAMPANG PRAPATAN- PS MINGGU,34,36,44,34,28,18,2,31,8,26.1111111111111,26.1111111111111,26.1111111111111
