ID,LIMIT_BAL,MARRIAGE,EDUCATION,SEX,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,TARGET
1,30000,1,1,2,40,24607,24430,23881,0
2,20000,1,1,2,41,17040,16474,17203,0
3,20000,1,1,2,36,17332,18600,17947,0
4,20000,1,1,2,35,2003,2948,3372,0
5,170000,1,1,2,38,171465,145196,110163,0
6,20000,1,1,2,40,16500,17012,18181,0
7,2.00E+05,1,1,2,32,157222,160320,162140,0
8,370000,1,1,2,37,47269,43531,59801,0
9,160000,1,1,2,39,106643,89397,90348,0
10,30000,1,1,2,36,25826,27274,25744,0
11,240000,1,1,2,41,48502,49001,47026,0
12,270000,1,1,2,40,184560,178592,170225,0
13,180000,1,1,2,44,173267,174590,175233,0
14,240000,1,1,2,40,3647,2530,464,0
15,2.00E+05,1,1,2,43,143994,102211,54762,0
16,250000,1,1,2,35,242971,244628,243223,0
17,50000,1,1,2,40,5538,6563,7422,0
18,30000,1,1,2,39,15526,14923,10936,0
19,3.00E+05,1,1,2,36,2200,1378,1109,0
20,140000,1,1,2,39,4679,3146,0,0
21,160000,1,1,2,38,498,135,0,0
22,160000,1,1,2,39,1055,2579,1155,0
23,150000,1,1,2,40,103389,108189,112968,0
24,250000,1,1,2,41,41075,31898,103675,0
25,50000,1,1,2,31,26979,21029,18765,0
26,80000,1,1,2,39,64561,47041,25439,0
27,110000,1,1,2,38,96155,96752,98884,0
28,5.00E+05,1,1,2,37,4101,11076,3834,0
29,330000,1,1,2,39,165042,163406,137664,0
30,470000,1,1,2,35,79455,74993,48344,0
31,80000,1,1,2,34,107044,103077,98328,0
32,50000,1,1,2,42,41674,40012,31089,0
33,240000,1,1,2,40,127919,93266,95837,0
34,80000,1,1,2,32,35303,36215,37330,0
35,20000,1,1,2,32,12146,7698,6005,0
36,210000,1,1,2,38,4341,402,11305,0
37,2.00E+05,1,1,2,33,98426,91948,17042,0
38,2.00E+05,1,1,2,37,75014,77044,80096,0
39,230000,1,1,2,43,1215,225,5703,0
40,50000,1,1,2,31,35227,36236,21068,0
41,50000,1,1,2,39,1500,0,0,0
42,50000,1,1,2,34,47649,49100,50380,0
43,310000,1,1,2,37,4052,6514,-3484,0
44,240000,1,1,2,36,16925,1411,1696,0
45,1.00E+05,1,1,2,41,34572,35173,35828,0
46,30000,1,1,2,34,29866,30900,0,0
47,150000,1,1,2,36,3060,0,530,0
48,150000,1,1,2,33,38985,36466,31907,0
49,150000,3,1,2,37,1080,17493,9160,0
50,140000,1,1,2,41,112592,108669,110174,0
51,110000,1,1,2,32,106202,105080,107420,0
52,220000,1,1,2,36,1379,1205,825,0
53,190000,1,1,2,37,137502,127014,120826,0
54,360000,1,1,2,40,0,0,0,0
55,360000,1,1,2,35,-103,-103,-103,0
56,1.00E+05,1,1,2,34,16659,13585,7886,0
57,360000,1,1,2,40,4134,2128,960,0
58,30000,1,1,2,34,19594,20619,21631,0
59,360000,1,1,2,37,4183,6469,465,0
60,210000,1,1,2,36,145643,133339,137000,0
61,180000,1,1,2,34,64788,66092,65236,0
62,180000,1,1,2,35,10790,7239,30418,0
63,130000,3,1,2,38,780,0,11836,0
64,80000,1,1,2,39,58606,57076,58358,0
65,30000,1,1,2,37,10410,11431,12439,0
66,160000,1,1,2,33,56432,55371,56316,0
67,150000,1,1,2,37,26416,18915,16047,0
68,50000,1,1,2,39,19454,18856,19590,0
69,3.00E+05,1,1,2,40,3144,5688,2297,0
70,190000,1,1,2,33,291,291,582,0
71,70000,1,1,2,35,46092,40094,39610,0
72,240000,1,1,2,40,5770,10412,4578,0
73,60000,1,1,2,37,0,0,0,0
74,60000,1,1,2,35,28768,29510,30389,0
75,50000,1,1,2,39,45345,46403,38343,0
76,320000,1,1,2,34,247276,241167,238196,0
77,160000,1,1,2,37,1988,0,0,0
78,260000,1,1,2,38,248034,241535,174423,0
79,2.00E+05,1,1,2,37,65927,59688,53084,0
80,50000,1,1,2,32,48566,48206,48659,0
81,130000,1,1,2,37,790,390,99235,0
82,230000,1,1,2,38,8681,8681,8888,0
83,160000,1,1,2,39,5536,15041,15877,0
84,30000,1,1,2,36,0,0,1310,0
85,240000,1,1,2,36,11874,5979,6938,0
86,50000,1,1,2,37,15735,15681,35492,0
87,190000,1,1,2,40,3816,4575,5029,0
88,150000,1,1,2,38,36302,33060,33988,0
89,80000,1,1,2,37,65186,62938,54748,0
90,130000,1,1,2,32,0,780,390,0
91,360000,1,1,2,37,40250,23022,12272,0
92,120000,1,1,2,41,26490,23333,16721,0
93,190000,1,1,2,39,359280,362680,161193,0
94,5.00E+05,1,1,2,32,4031,3684,7544,0
95,170000,1,1,2,38,352,14540,14315,0
96,50000,1,1,2,39,32570,34713,39803,0
97,30000,1,1,2,35,1393,1393,1393,0
98,50000,1,1,2,43,2435,0,197,0
99,20000,1,1,2,41,17927,17384,13648,0
100,280000,1,1,2,40,269,4160,3590,0
101,150000,1,1,2,39,6156,0,0,0
102,150000,1,1,2,35,62854,50558,52738,0
103,3.00E+05,1,1,2,43,788,736,736,0
104,340000,1,1,2,29,132749,134235,128079,0
105,180000,1,1,2,37,23398,14445,15404,0
106,50000,1,1,2,38,48136,72898,36103,0
107,50000,1,1,2,40,390,918,19583,0
108,10000,1,1,2,36,8099,9727,5732,0
109,150000,1,1,2,40,138066,140522,138722,0
110,320000,1,1,2,40,25840,13260,13217,0
111,30000,1,1,2,39,12271,11791,11305,0
112,30000,1,1,2,43,39347,34702,34822,0
113,150000,1,1,2,37,17723,19440,14945,0
114,180000,1,1,2,42,0,4835,2220,0
115,110000,1,1,2,32,112953,225099,221798,0
116,140000,1,1,2,39,107,232,107,0
117,2.00E+05,1,1,2,41,192910,199344,186878,0
118,80000,1,1,2,40,1812,390,388,0
119,50000,1,1,2,40,47838,49246,50376,0
120,160000,1,1,2,37,151246,155926,113767,0
121,30000,1,1,2,37,28218,28704,30428,0
122,320000,1,1,2,39,151222,135038,108924,0
123,60000,1,1,2,37,60655,60281,59968,0
124,390000,1,1,2,38,6782,1466,3273,0
125,130000,1,1,2,35,67260,69269,72276,0
126,10000,1,1,2,34,0,0,0,0
127,2.00E+05,1,1,2,36,3024,11080,8736,0
